id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,istrain
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,Casual,True
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,True
59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,True
28032,Men,Apparel,Innerwear,Briefs,White,Summer,Casual,True
27846,Women,Apparel,Topwear,Others,Charcoal,Summer,Formal,True
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,True
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,Casual,True
31923,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,True
2618,Women,Footwear,Shoes,Flats,Silver,Spring,Casual,True
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,True
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,Casual,True
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,True
13841,Unisex,Accessories,Watches,Watches,White,Winter,Casual,True
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,Casual,True
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,True
7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,True
18495,Men,Footwear,Sandal,Sandals,White,Fall,Casual,True
8110,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,True
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,True
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,Casual,True
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,Ethnic,True
20851,Women,Accessories,Bags,Clutches,Red,Winter,Casual,True
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,Casual,True
58177,Women,Accessories,Bags,Handbags,Brown,Summer,Casual,True
44528,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,True
16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,True
51455,Women,Apparel,Topwear,Others,Pink,Summer,Casual,True
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,Casual,True
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,True
47530,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,True
6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,True
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,Sports,True
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,True
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,True
43190,Women,Accessories,Watches,Watches,White,Winter,Casual,True
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,Casual,True
30462,Women,Apparel,Innerwear,Bra,Black,Summer,Casual,True
18208,Men,Accessories,Headwear,Caps,White,Fall,Casual,True
54127,Women,Footwear,Shoes,Heels,Black,Winter,Casual,True
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,True
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,True
32335,Men,Accessories,Watches,Watches,Silver,Winter,Casual,True
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,Casual,True
56670,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,True
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,True
59638,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,True
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual,True
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,Casual,True
36795,Men,Accessories,Watches,Watches,Silver,Winter,Casual,True
40527,Men,Accessories,Watches,Watches,Gold,Winter,Casual,True
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,True
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,True
45869,Men,Accessories,Watches,Watches,Brown,Winter,Casual,True
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,True
53130,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,True
44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,Casual,True
21510,Women,Accessories,Bags,Handbags,White,Winter,Casual,True
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,Casual,True
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,True
35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,Ethnic,True
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,True
18806,Men,Accessories,Belts,Belts,Tan,Summer,Casual,True
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,True
17072,Women,Accessories,Belts,Belts,Grey,Winter,Casual,True
31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,True
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,True
12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,True
26735,Men,Personal Care,Fragrance,Deodorant,Black,Spring,Casual,True
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
56026,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,True
21948,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,True
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,True
58980,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,Casual,True
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,True
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,Formal,True
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,True
4716,Unisex,Accessories,Watches,Watches,Black,Winter,Sports,True
21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,True
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,True
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,Casual,True
53554,Men,Apparel,Innerwear,Boxers,Multi,Summer,Casual,True
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,True
47366,Women,Accessories,Bags,Handbags,Blue,Summer,Casual,True
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,True
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,True
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,True
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,True
29319,Unisex,Accessories,Bags,Backpacks,Red,Summer,Casual,True
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,True
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,True
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,Ethnic,True
30234,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,True
9009,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,True
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,True
42614,Women,Accessories,Jewellery,Jewellery Set,Gold,Winter,Casual,True
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,Ethnic,True
26351,Women,Accessories,Watches,Watches,White,Winter,Casual,True
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,True
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,Casual,True
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,Casual,True
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,Sports,True
51031,Women,Apparel,Innerwear,Bra,White,Summer,Casual,True
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,True
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,Casual,True
55491,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,Casual,True
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,True
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
29917,Men,Accessories,Watches,Watches,White,Winter,Casual,True
42426,Women,Apparel,Topwear,Kurtas,Others,Summer,Ethnic,True
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,True
56214,Women,Accessories,Jewellery,Earrings,Gold,Winter,Casual,True
10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,True
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,True
21346,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,Casual,True
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,True
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,True
37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,True
53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,True
25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,True
32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,True
58974,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,Casual,True
33445,Women,Accessories,Wallets,Wallets,Black,Summer,Casual,True
57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,True
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,Sports,True
41859,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,True
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,True
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,Casual,True
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,Casual,True
58148,Unisex,Accessories,Headwear,Caps,White,Fall,Casual,True
20052,Women,Accessories,Others,Mufflers,Yellow,Fall,Casual,True
5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,Casual,True
44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,Casual,True
47392,Women,Accessories,Bags,Handbags,Beige,Fall,Casual,True
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,Ethnic,True
8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,True
16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,True
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,True
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,True
46240,Women,Apparel,Topwear,Tunics,White,Summer,Casual,True
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,True
13042,Women,Footwear,Shoes,Flats,Brown,Winter,Casual,True
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,True
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,Ethnic,True
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,True
55657,Women,Footwear,Shoes,Heels,Gold,Winter,Casual,True
19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,True
27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,True
34452,Women,Footwear,Shoes,Flats,Copper,Winter,Casual,True
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,True
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,True
46072,Men,Accessories,Belts,Belts,Black,Summer,Casual,True
22537,Men,Footwear,Sandal,Sandals,Tan,Summer,Casual,True
28831,Women,Apparel,Innerwear,Briefs,Brown,Summer,Casual,True
43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,True
2627,Women,Footwear,Shoes,Flats,Silver,Fall,Casual,True
27045,Women,Accessories,Bags,Clutches,Off White,Summer,Casual,True
13270,Women,Apparel,Topwear,Tops,White,Fall,Casual,True
18698,Men,Apparel,Innerwear,Briefs,Grey,Summer,Casual,True
55465,Women,Personal Care,Lips,Lipstick,Red,Spring,Casual,True
26197,Men,Personal Care,Fragrance,Perfume and Body Mist,Green,Spring,Casual,True
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,True
25712,Unisex,Accessories,Headwear,Caps,Blue,Summer,Sports,True
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,True
14869,Men,Accessories,Wallets,Wallets,Black,Summer,Casual,True
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,True
15187,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,True
44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Summer,Casual,True
14055,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,True
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,True
7731,Men,Footwear,Flip Flops,Flip Flops,Grey,Winter,Casual,True
22153,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,True
43958,Men,Footwear,Sandal,Sandals,Olive,Fall,Casual,True
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,True
50573,Men,Apparel,Innerwear,Trunk,Charcoal,Summer,Casual,True
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,True
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,True
3391,Women,Accessories,Bags,Handbags,White,Winter,Casual,True
43164,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
2243,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,True
30496,Women,Apparel,Innerwear,Bra,Purple,Summer,Casual,True
27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Winter,Casual,True
57756,Women,Personal Care,Others,Face Wash and Cleanser,Green,Spring,Casual,True
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,Casual,True
39729,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,True
25376,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,Casual,True
11143,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,True
56684,Women,Apparel,Saree,Sarees,Beige,Fall,Ethnic,True
4988,Women,Apparel,Dress,Dresses,White,Summer,Casual,True
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,True
14431,Women,Footwear,Shoes,Heels,Black,Summer,Casual,True
20604,Women,Accessories,Bags,Handbags,Brown,Winter,Casual,True
52224,Women,Accessories,Jewellery,Necklace and Chains,Silver,Summer,Casual,True
45293,Women,Accessories,Watches,Watches,Red,Winter,Casual,True
36761,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,Ethnic,True
25144,Women,Accessories,Bags,Handbags,Orange,Winter,Casual,True
11371,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,True
41401,Women,Apparel,Topwear,Tops,White,Summer,Casual,True
14603,Men,Accessories,Socks,Socks,Grey,Summer,Casual,True
37481,Women,Accessories,Watches,Watches,White,Winter,Casual,True
5254,Unisex,Accessories,Bags,Duffel Bag,Red,Winter,Casual,True
44173,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,True
25978,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,True
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,True
51693,Unisex,Accessories,Eyewear,Sunglasses,Brown,Winter,Casual,True
16154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,True
22361,Men,Footwear,Sandal,Sports Sandals,Navy Blue,Summer,Casual,True
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,True
19920,Unisex,Accessories,Bags,Backpacks,Black,Winter,Casual,True
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,True
46624,Men,Personal Care,Fragrance,Deodorant,Grey,Spring,Casual,True
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,True
17086,Women,Accessories,Wallets,Wallets,Orange,Winter,Casual,True
50741,Men,Footwear,Shoes,Casual Shoes,Black,Winter,Casual,True
55233,Women,Personal Care,Makeup,Foundation and Primer,Skin,Summer,Casual,True
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,True
43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Summer,Sports,True
28207,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,True
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,True
12994,Boys,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,True
46278,Women,Apparel,Topwear,Tunics,Red,Summer,Casual,True
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,True
18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,Casual,True
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,Casual,True
7963,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,True
8117,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
49230,Men,Accessories,Socks,Socks,Black,Summer,Casual,True
39147,Women,Apparel,Apparel Set,Kurta Sets,Purple,Fall,Ethnic,True
36933,Women,Personal Care,Fragrance,Perfume and Body Mist,Purple,Spring,Casual,True
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,Casual,True
20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,True
41861,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,True
5608,Men,Footwear,Sandal,Sandals,Black,Summer,Casual,True
58170,Women,Accessories,Bags,Clutches,Red,Fall,Casual,True
53598,Men,Others,Free Gifts,Free Gifts,Black,Winter,Sports,True
15983,Men,Apparel,Topwear,Shirts,Others,Fall,Casual,True
39375,Women,Accessories,Watches,Watches,Silver,Winter,Casual,True
14851,Women,Accessories,Wallets,Wallets,Others,Summer,Casual,True
59290,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
52678,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,True
47198,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual,True
27841,Men,Accessories,Belts,Belts,White,Summer,Casual,True
28035,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,Casual,True
31924,Women,Accessories,Bags,Handbags,Black,Summer,Casual,True
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,True
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,True
43538,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,True
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,True
31118,Girls,Apparel,Topwear,Tops,Red,Summer,Casual,True
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,Casual,True
46876,Men,Accessories,Socks,Socks,Grey,Summer,Casual,True
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,True
39711,Men,Accessories,Watches,Watches,Black,Winter,Casual,True
14409,Women,Footwear,Shoes,Heels,White,Summer,Casual,True
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,True
44379,Men,Personal Care,Fragrance,Perfume and Body Mist,Black,Spring,Casual,True
11947,Men,Footwear,Sandal,Sandals,Olive,Summer,Casual,True
36759,Men,Accessories,Watches,Watches,White,Winter,Casual,True
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,True
29583,Women,Footwear,Shoes,Flats,Silver,Summer,Casual,True
55805,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,Casual,True
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,True
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,True
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,Formal,True
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,True
55039,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,True
19316,Unisex,Accessories,Bags,Backpacks,Grey,Fall,Casual,True
27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Winter,Casual,True
34832,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,True
23885,Men,Footwear,Shoes,Sports Shoes,Grey,Winter,Sports,True
19918,Unisex,Accessories,Bags,Backpacks,Black,Winter,Casual,True
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,True
19124,Women,Footwear,Flip Flops,Flip Flops,Pink,Fall,Casual,True
